ID,kernel_groove_length,asymmetryCoefficient,area,kernel_groove_length,class
0,5.22,2.221,15.26,5.22,1
1,4.956,1.018,14.88,4.956,1
2,4.825,2.699,14.29,4.825,1
3,4.805,2.259,13.84,4.805,1
4,5.175,1.355,16.14,5.175,1
5,4.956,2.462,14.38,4.956,1
6,5.219,3.586,14.69,5.219,1
7,5,2.7,14.11,5,1
8,5.877,2.04,16.63,5.877,1
9,5.533,1.969,16.44,5.533,1
10,5.314,4.543,15.26,5.314,1
11,5.001,1.717,14.03,5.001,1
12,4.738,3.986,13.89,4.738,1
13,4.872,3.136,13.78,4.872,1
14,4.825,2.932,13.74,4.825,1
15,4.781,4.185,14.59,4.781,1
16,4.781,5.234,13.99,4.781,1
17,5.046,1.599,15.69,5.046,1
18,4.649,1.767,14.7,4.649,1
19,4.914,4.102,12.72,4.914,1
20,5.176,3.072,14.16,5.176,1
21,5.219,2.688,14.11,5.219,1
22,5.091,0.7651,15.88,5.091,1
23,4.961,1.415,12.08,4.961,1
24,5.001,1.791,15.01,5.001,1
25,5.307,0.903,16.19,5.307,1
26,4.825,3.373,13.02,4.825,1
27,4.869,2.504,12.74,4.869,1
28,5.038,2.754,14.11,5.038,1
29,5.097,3.531,13.45,5.097,1
30,5.056,0.8551,13.16,5.056,1
31,5.228,3.412,15.49,5.228,1
32,5.299,3.92,14.09,5.299,1
33,5.012,2.124,13.94,5.012,1
34,5.36,2.129,15.05,5.36,1
35,5.443,2.27,16.12,5.443,1
36,5.527,2.823,16.2,5.527,1
37,5.484,2.956,17.08,5.484,1
38,5.309,3.112,14.8,5.309,1
39,5.001,6.685,14.28,5.001,1
40,5.178,2.587,13.54,5.178,1
41,5.176,2.249,13.5,5.176,1
42,4.783,2.461,13.16,4.783,1
43,5.528,4.711,15.5,5.528,1
44,5.18,3.128,15.11,5.18,1
45,4.961,1.56,13.8,4.961,1
46,5.132,1.367,15.36,5.132,1
47,5.175,2.958,14.99,5.175,1
48,5.111,2.704,14.79,5.111,1
49,5.351,2.129,14.86,5.351,1
50,5.144,3.975,14.43,5.144,1
51,5.136,5.593,15.78,5.136,1
52,5.396,4.116,14.49,5.396,1
53,5.224,3.328,14.33,5.224,1
54,5.487,1.481,14.52,5.487,1
55,5.439,1.933,15.03,5.439,1
56,5.044,2.802,14.46,5.044,1
57,5.088,1.142,14.92,5.088,1
58,5.222,1.999,15.38,5.222,1
59,4.519,1.502,12.11,4.519,1
60,4.607,2.7,11.42,4.607,1
61,4.703,2.269,11.23,4.703,1
62,4.605,3.22,12.36,4.605,1
63,5.088,4.157,13.22,5.088,1
64,4.782,1.176,12.78,4.782,1
65,4.607,2.352,12.88,4.607,1
66,5.15,1.313,14.34,5.15,1
67,5.132,2.217,14.01,5.132,1
68,5.3,1.464,14.37,5.3,1
69,5.067,3.533,12.73,5.067,1
70,6.06,4.076,17.63,6.06,2
71,5.877,4.675,16.84,5.877,2
72,5.791,4.539,17.26,5.791,2
73,6.079,2.936,19.11,6.079,2
74,5.841,4.004,16.82,5.841,2
75,5.795,4.92,16.77,5.795,2
76,5.922,3.824,17.32,5.922,2
77,6.451,4.451,20.71,6.451,2
78,6.362,5.064,18.94,6.362,2
79,5.746,2.858,17.12,5.746,2
80,5.88,5.532,16.53,5.88,2
81,5.879,5.324,18.72,5.879,2
82,6.187,5.173,20.2,6.187,2
83,6.273,1.472,19.57,6.273,2
84,6.185,2.962,19.51,6.185,2
85,6.197,2.443,18.27,6.197,2
86,6.109,1.649,18.88,6.109,2
87,6.498,3.691,18.98,6.498,2
88,6.231,5.78,21.18,6.231,2
89,6.321,5.016,20.88,6.321,2
90,6.449,1.955,20.1,6.449,2
91,6.053,3.12,18.76,6.053,2
92,6.053,3.237,18.81,6.053,2
93,5.877,6.001,18.59,5.877,2
94,6.448,4.933,18.36,6.448,2
95,5.967,3.696,16.87,5.967,2
96,6.238,3.477,19.31,6.238,2
97,6.453,2.144,18.98,6.453,2
98,6.273,2.853,18.17,6.273,2
99,6.097,2.188,18.72,6.097,2
100,5.618,4.217,16.41,5.618,2
101,5.837,2.068,17.99,5.837,2
102,6.009,4.308,19.46,6.009,2
103,6.229,3.357,19.18,6.229,2
104,6.148,3.368,18.95,6.148,2
105,5.879,2.553,18.83,5.879,2
106,6.2,2.843,18.85,6.2,2
107,5.929,3.747,17.63,5.929,2
108,6.55,3.252,19.94,6.55,2
109,5.894,1.738,18.55,5.894,2
110,5.794,2.235,18.45,5.794,2
111,5.965,3.678,19.38,5.965,2
112,5.924,2.109,19.13,5.924,2
113,6.053,6.682,19.14,6.053,2
114,6.316,4.677,20.97,6.316,2
115,6.163,2.248,19.06,6.163,2
116,5.75,4.334,18.96,5.75,2
117,6.185,3.084,19.15,6.185,2
118,5.966,3.639,18.89,5.966,2
119,6.32,3.063,20.03,6.32,2
120,6.188,5.901,20.24,6.188,2
121,6.011,3.619,18.14,6.011,2
122,5.703,4.286,16.17,5.703,2
123,5.905,2.984,18.43,5.905,2
124,5.144,3.336,15.99,5.144,2
125,5.992,4.188,18.75,5.992,2
126,6.102,4.391,18.65,6.102,2
127,5.919,2.257,17.98,5.919,2
128,6.185,1.91,20.16,6.185,2
129,5.661,5.366,17.55,5.661,2
130,5.962,2.837,18.3,5.962,2
131,5.949,2.908,18.94,5.949,2
132,5.795,4.462,15.38,5.795,2
133,5.795,4.266,16.16,5.795,2
134,5.847,4.972,15.56,5.847,2
135,5.439,3.6,15.38,5.439,2
136,5.971,3.526,17.36,5.971,2
137,5.879,2.64,15.57,5.879,2
138,5.752,2.725,15.6,5.752,2
139,5.922,3.769,16.23,5.922,2
140,5.395,5.304,13.07,5.395,3
141,5.44,7.035,13.32,5.44,3
142,5.307,5.995,13.34,5.307,3
143,5.221,5.469,12.22,5.221,3
144,5.178,4.471,11.82,5.178,3
145,5.275,6.169,11.21,5.275,3
146,5.132,2.221,11.43,5.132,3
147,5.002,4.421,12.49,5.002,3
148,5.316,3.26,12.7,5.316,3
149,5.194,5.462,10.79,5.194,3
150,5.307,5.195,11.83,5.307,3
151,5.27,6.992,12.01,5.27,3
152,5.36,4.756,12.26,5.36,3
153,5.001,3.332,11.18,5.001,3
154,5.263,4.048,11.36,5.263,3
155,5.219,5.813,11.19,5.219,3
156,5.003,3.347,11.34,5.003,3
157,5.22,4.825,12.13,5.22,3
158,5.31,4.378,11.75,5.31,3
159,5.31,5.388,11.49,5.31,3
160,5.491,3.082,12.54,5.491,3
161,5.308,4.271,12.02,5.308,3
162,5.046,4.988,12.05,5.046,3
163,5.176,4.419,12.55,5.176,3
164,5.049,6.388,11.14,5.049,3
165,5.056,2.201,12.1,5.056,3
166,5.27,4.924,12.44,5.27,3
167,5.338,3.638,12.15,5.338,3
168,5.132,4.337,11.35,5.132,3
169,5.088,3.521,11.24,5.088,3
170,5.163,6.735,11.02,5.163,3
171,4.956,6.715,11.55,4.956,3
172,5,4.309,11.27,5,3
173,5.089,5.588,11.4,5.089,3
174,5.185,5.182,10.83,5.185,3
175,5.063,4.773,10.8,5.063,3
176,5.092,5.335,11.26,5.092,3
177,4.963,4.702,10.74,4.963,3
178,5.002,5.876,11.48,5.002,3
179,5.178,1.661,12.21,5.178,3
180,4.825,4.957,11.41,4.825,3
181,5.147,4.987,12.46,5.147,3
182,5.158,4.857,12.19,5.158,3
183,5.135,5.209,11.65,5.135,3
184,5.316,6.185,12.89,5.316,3
185,5.182,4.062,11.56,5.182,3
186,5.352,4.898,11.81,5.352,3
187,4.956,4.179,10.91,4.956,3
188,4.957,7.524,11.23,4.957,3
189,4.794,4.975,10.59,4.794,3
190,5.045,5.398,10.93,5.045,3
191,5.001,3.985,11.27,5.001,3
192,5.132,3.597,11.87,5.132,3
193,5.089,4.853,10.82,5.089,3
194,5.012,4.132,12.11,5.012,3
195,4.914,4.873,12.8,4.914,3
196,4.958,5.483,12.79,4.958,3
197,5.091,4.67,13.37,5.091,3
198,5.231,3.306,12.62,5.231,3
199,4.83,2.828,12.76,4.83,3
200,5.045,5.472,12.38,5.045,3
201,4.745,2.3,12.67,4.745,3
202,4.828,4.051,11.18,4.828,3
203,5,8.456,12.7,5,3
204,5.001,3.919,12.37,5.001,3
205,4.87,3.631,12.19,4.87,3
206,5.003,4.325,11.23,5.003,3
207,5.056,8.315,13.2,5.056,3
208,5.044,3.598,11.84,5.044,3
209,5.063,5.637,12.3,5.063,3
